Category,Marker,gender,Short,Units,Clinical Range,CELLUIQ Range,If Low (Symptoms),If High (Symptoms),Supplement (Low),Dosage (Low),Preferred Form (Low),Mechanism (Low),Supplement (High),Dosage (High),Preferred Form (High),Mechanism (High),Food (Low),Food (High),Medication (Low),Dosage (Med Low),Preferred Form (Med Low),Medication (High),Dosage (Med High),Preferred Form (Med High),Lifestyle (Low),Lifestyle (High),Warnings (Low),Warnings (High),Studies (with links),
Lipids,DHA,male,DHA,µg/mL,>150,>200,Brain health decline.,Rare; bleeding risk,Omega-3,2-4 g/day,Capsule,Membrane fluidity in brain.,None standard,N/A,N/A,N/A,Fish oil,High-omega-6 diet,None standard,N/A,N/A,None standard,N/A,N/A,Exercise,Balanced diet,Bleeding risk,N/A,PubMed,
Lipids,Arachidonic Acid,male,AA,µg/mL,<200,<150,Rare,Inflammation.,Omega-3,2 g/day,Capsule,Competes with AA for eicosanoid pathway.,None standard,N/A,N/A,N/A,Eggs,Low-omega-3 diet,None standard,N/A,N/A,None standard,N/A,N/A,Balanced diet,Omega-3 rich diet,Omega-3: bleeding,N/A,PMC,
Lipids,Omega6:Omega3,male,O6:O3,Ratio,<4:1,<3:1,Rare,Inflammation.,Omega-3,2-4 g/day,Capsule,Balances ratio by increasing omega-3.,None standard,N/A,N/A,N/A,Fatty fish,Low-omega-6 diet,None standard,N/A,N/A,None standard,N/A,N/A,Exercise,Balanced diet,Omega-3: bleeding,N/A,PubMed,
Liver Function,ALT,male,ALT,U/L,<50,<20,Rare.,Liver damage.,Milk thistle,300 mg/day,Silymarin,Hepatoprotective antioxidant.,NAC,600 mg/day,N-acetylcysteine,Detoxifies liver.,Beetroot,Alcohol,None standard,N/A,N/A,Ursodiol,300 mg/day,Oral,Avoid alcohol,Balanced diet,Milk thistle: GI,NAC: nausea,2025 PubMed; PMC,
Liver Function,AST,male,AST,U/L,<50,<20,Rare.,Liver/muscle damage.,NAC,600 mg/day,N-acetylcysteine,Antioxidant for liver.,Milk thistle,300 mg/day,Silymarin,Reduces oxidative stress.,Beetroot,Alcohol,None standard,N/A,N/A,Ursodiol,300 mg/day,Oral,Avoid alcohol,Balanced diet,NAC: nausea,Milk thistle: GI,Similar to ALT PubMed,
Liver Function,ALP,male,ALP,U/L,40-129,50-100,Rare.,Bone/liver issues.,Vitamin D,2000 IU/day,Cholecalciferol,Supports bone health to normalize ALP.,Ursodiol,300 mg/day,Oral,Reduces biliary ALP elevation.,Dairy,High-phosphorus diet,None standard,N/A,N/A,Ursodiol,300 mg/day,Oral,Sun exposure,Balanced diet,Vit D: hypercalcemia,Ursodiol: diarrhea,PMC,
Liver Function,GGT,male,GGT,U/L,<60,<20,Rare.,Liver toxicity.,Glutathione,500 mg/day,Liposomal,Detoxifies liver.,Milk thistle,300 mg/day,Silymarin,Reduces oxidative stress.,Beetroot,Alcohol,None standard,N/A,N/A,None standard,N/A,N/A,Avoid alcohol,Balanced diet,Glutathione: rare allergy,Milk thistle: GI,PMC,
Liver Function,Bilirubin Total,male,TBili,mg/dL,0.1-1.2,0.3-0.8,Rare.,Jaundice.,Milk thistle,300 mg/day,Silymarin,Enhances bilirubin conjugation.,Ursodiol,300 mg/day,Oral,Improves bilirubin clearance.,Beetroot,High-fat diet,None standard,N/A,N/A,Phenobarbital,60-180 mg/day,Oral,Avoid alcohol,Balanced diet,Milk thistle: GI,Ursodiol: diarrhea,PMC,
Liver Function,Bilirubin Direct,male,DBili,mg/dL,<0.3,<0.2,Rare.,Liver obstruction.,Milk thistle,300 mg/day,Silymarin,Supports liver detoxification.,Ursodiol,300 mg/day,Oral,Reduces direct bilirubin in cholestasis.,Beetroot,High-fat diet,None standard,N/A,N/A,Phenobarbital,60-180 mg/day,Oral,Avoid alcohol,Balanced diet,Milk thistle: GI,Ursodiol: diarrhea,PMC,
Liver Function,Bilirubin Indirect,male,IBili,mg/dL,<1.0,<0.6,Rare.,Gilbert's syndrome.,Milk thistle,300 mg/day,Silymarin,Improves UDP-glucuronosyltransferase.,Phenobarbital,60-180 mg/day,Oral,Induces enzyme for bilirubin conjugation.,Beetroot,High-fat diet,None standard,N/A,N/A,Phenobarbital,60-180 mg/day,Oral,Avoid alcohol,Balanced diet,Milk thistle: GI,Phenobarbital: drowsiness,PMC,
Liver Function,Albumin,male,Alb,g/dL,3.5-5.0,4.0-4.8,Malnutrition.,Dehydration.,Whey protein,20 g/day,Isolate,Increases albumin synthesis.,Branched-chain amino acids,5 g/day,BCAA mix,Supports liver protein production.,Eggs,Low-protein diet,Albumin IV,As needed,Infusion,None standard,N/A,N/A,Balanced diet,Hydration,Whey: dairy allergy,BCAA: GI,PubMed,
Liver Function,Total Protein,male,TP,g/dL,6.0-8.0,6.5-7.5,Malnutrition.,Inflammation.,Collagen,10 g/day,Hydrolyzed,Boosts protein levels.,Whey protein,20 g/day,Isolate,Increases total protein.,Meat,Low-protein diet,None standard,N/A,N/A,None standard,N/A,N/A,Balanced diet,Hydration,Collagen: rare allergy,Whey: lactose,PMC,
Liver Function,Globulin,male,Glob,g/dL,2.0-3.5,2.5-3.0,Immunodeficiency.,Chronic infection.,Immunoglobulin,400 mg/kg/month,IVIG,Boosts globulin levels.,Vitamin A,3000 IU/day,Retinol,Supports immune globulin production.,Eggs,Low-protein diet,IVIG,400 mg/kg/month,Infusion,None standard,N/A,N/A,Balanced diet,Hydration,IVIG: infusion reactions,Vit A: toxicity,PMC,
Liver Function,A/G Ratio,male,A/G,Ratio,1.1-2.5,1.5-2.0,Liver disease.,Multiple myeloma.,Whey protein,20 g/day,Isolate,Increases albumin relative to globulin.,Vitamin D,2000 IU/day,Cholecalciferol,Balances protein synthesis.,Eggs,Low-protein diet,None standard,N/A,N/A,None standard,N/A,N/A,Balanced diet,Hydration,Whey: dairy,Vit D: hypercalcemia,PMC,
Liver Function,CK,male,CK,U/L,24-195,50-150,Rare.,Muscle breakdown.,CoQ10,200 mg/day,Ubiquinol,Reduces muscle damage.,Branched-chain amino acids,5 g/day,BCAA mix,Protects muscle enzymes.,Meat,Low-protein diet,None standard,N/A,N/A,None standard,N/A,N/A,Rest,Hydration,CoQ10: GI,BCAA: nausea,PubMed,
Metabolic,Glucose Fasting,male,FPG,mg/dL,<100,<85,Hypoglycemia.,Diabetes.,Chromium,200 µg/day,Picolinate,Enhances insulin sensitivity.,Berberine,500 mg/day,Extract,Mimics insulin action.,Cinnamon,Low-GI foods,None standard,N/A,N/A,Metformin,500-1000 mg/day,Oral,Low-carb,Balanced diet,Chromium: rare,Berberine: GI,PubMed,
Metabolic,Insulin Fasting,male,F Insulin,µU/mL,<25,<5,Rare; possible malnutrition,Insulin resistance.,Chromium,200 µg/day,Picolinate,Improves insulin signaling.,Berberine,500 mg/day,Extract,Reduces insulin secretion.,Apple cider vinegar,Low-carb diet,None standard,N/A,N/A,Semaglutide,0.25 mg/week,Injectable,Intermittent fasting,Balanced diet,Chromium: low blood sugar,Berberine: hypoglycemia,PMC,
Metabolic,HbA1c,male,A1c,%,<5.7,<5.0,Rare,Prediabetes.,Cinnamon,1 g/day,Extract,Lowers glycation.,Berberine,500 mg/day,Extract,Improves glucose metabolism.,Low-GI foods,High-sugar diet,None standard,N/A,N/A,Metformin,500-1000 mg/day,Oral,Resistance training,Sugar reduction,Cinnamon: liver toxicity high dose,Berberine: GI,PubMed,
Metabolic,HOMA-IR,male,HOMA-IR,Index,<2,<1,Rare,Insulin resistance.,Chromium,200 µg/day,Picolinate,Lowers IR index.,Berberine,500 mg/day,Extract,Reduces HOMA score.,Low-GI foods,High-sugar diet,None standard,N/A,N/A,Metformin,500-1000 mg/day,Oral,"OMAD, HIIT",Balanced diet,Chromium: hypoglycemia,Berberine: interactions,PubMed; PMC,
Metabolic,Lactate,male,Lactate,mmol/L,0.5-2.2,0.5-1.5,Hypoxia.,Metabolic acidosis.,Beta-alanine,3-6 g/day,Time-release,Buffers lactate.,Creatine,3-5 g/day,Monohydrate,Reduces lactate accumulation.,Carbohydrates,Low-carb diet,None standard,N/A,N/A,Sodium bicarbonate,300 mg/kg,Oral,Exercise,Balanced diet,Beta-alanine: tingling,Creatine: GI,PMC,
Metabolic,Pyruvate,male,Pyruvate,mg/dL,0.3-0.9,0.4-0.7,Rare.,Mitochondrial issues.,Pyruvate,6-30 g/day,Calcium pyruvate,Energy substrate.,None standard,N/A,N/A,N/A,Carbohydrates,Low-carb diet,None standard,N/A,N/A,None standard,N/A,N/A,Exercise,Balanced diet,Pyruvate: GI,N/A,PMC,
Metabolic,BHB,male,BHB,mmol/L,<0.5 (fed),0.5-3.0 (keto),Rare,Ketoacidosis.,MCT oil,10-20 g/day,Oil,Boosts ketone production.,None standard,N/A,N/A,N/A,Coconut oil,High-carb diet,None standard,N/A,N/A,None standard,N/A,N/A,Keto diet,Balanced diet,MCT: GI,N/A,PMC,
Methylation,Homocysteine,male,Hcy,µmol/L,<15,<7,Rare; possible over-supplementation with B-vitamins.,"CVD risk, cognitive decline, stroke; fatigue, neuropathy.",Folate (5-MTHF),1 mg/day,Methylfolate,Enhances methylation cycle to convert homocysteine to methionine.,"TMG, Vitamin B6 (P5P), B12 (methyl)",TMG 1-3 g/day; B6 50 mg/day; B12 1-2 mg/day,"Betaine, pyridoxal-5-phosphate, methylcobalamin",Support homocysteine remethylation/transsulfuration pathways.,"Leafy greens, beets",Eggs,Folic acid injection,5 mg/week,Injectable,None standard,N/A,N/A,Sauna for methylation support,Strength training,B6 >100 mg: neuropathy,N/A,Hoorn Study PubMed; Meta-analysis PMC,
Minerals,Magnesium,male,Mg,mg/dL,1.7-2.2,2.0-2.5,"Cramps, fatigue.",Diarrhea.,Glycinate,300-600 mg/day,Chelated,Muscle relaxation.,Epsom salt,Topical,Bath,Reduces absorption.,Pumpkin seeds,Low-magnesium diet,Magnesium oxide,400 mg/day,Oral,None standard,N/A,N/A,Epsom baths,Balanced diet,High Mg: laxative,N/A,PMC,
Minerals,Calcium,male,Ca,mg/dL,8.5-10.5,9.0-10.0,"Cramps, osteoporosis.",Kidney stones.,Citrate,500 mg/day,Chelated,Bone support.,Vitamin K2,200 µg/day,MK7,Directs calcium to bones.,"Dairy, greens",Low-calcium diet,Calcitriol,0.25 µg/day,Oral,None standard,N/A,N/A,Weight-bearing exercise,Balanced diet,High Ca: constipation,N/A,PubMed,
Minerals,Phosphate,male,PO4,mg/dL,2.5-4.5,3.0-4.0,"Weak bones, muscle weakness.","Calcification, kidney issues.",Sodium phosphate,500-1000 mg elemental/day,Oral salt,Replenishes phosphate for bone/energy.,Sevelamer,800-1600 mg/day,Binder,Binds phosphate in gut.,"Dairy, nuts",Low-phosphate diet,Phosphate IV,As needed,Infusion,Sevelamer,800-1600 mg/day,Oral tablet,Exercise,Balanced diet,Phosphate: diarrhea,Sevelamer: GI,Guidelines PMC; AHA,
Minerals,Sodium,male,Na,mEq/L,135-145,138-142,Hyponatremia: confusion.,Hypertension.,Sodium chloride,500 mg/day,Salt,Restores electrolyte balance.,Tolvaptan,15 mg/day,Oral,Increases water excretion.,Salted foods,Low-salt diet,Sodium chloride IV,As needed,Infusion,Tolvaptan,15-60 mg/day,Oral tablet,Hydration,Balanced diet,Sodium: hypertension,Tolvaptan: liver damage,Guidelines PMC; AHA,
Minerals,Potassium,male,K,mEq/L,3.5-5.0,4.0-4.5,"Weakness, arrhythmias.",Arrhythmia.,Potassium gluconate,99 mg/day,Chelated,Replenishes intracellular potassium.,Potassium chloride,20-40 mEq/day,Oral,Lowers serum potassium.,Bananas,Low-potassium diet,Potassium IV,As needed,Infusion,SPS,15 g/day,Binder,Exercise,Balanced diet,Potassium: hyperkalemia,SPS: constipation,Guidelines PMC,
Minerals,Chloride,male,Cl,mEq/L,96-106,98-104,Acidosis.,Alkalosis.,Potassium chloride,20 mEq/day,Oral,Corrects chloride deficiency.,Acetazolamide,250 mg/day,Oral,Increases chloride excretion.,Table salt,Low-chloride diet,Chloride IV,As needed,Infusion,Acetazolamide,250-500 mg/day,Oral tablet,Hydration,Balanced diet,Chloride: hypertension,Acetazolamide: metabolic acidosis,Guidelines PMC,
Minerals,Zinc,male,Zn,µg/dL,60-120,80-110,Immune weakness.,Nausea.,Zinc picolinate,30-50 mg/day,Picolinate,Immune modulation.,Copper,2 mg/day,Gluconate,Balances zinc excess.,Oysters,Low-zinc diet,Zinc sulfate,50 mg/day,Oral,None standard,N/A,N/A,Zinc-rich diet,Hydration,Zinc >50 mg: copper def,Copper: nausea,PMC,
Minerals,Copper,male,Cu,µg/dL,70-140,80-120,Anemia.,Toxicity: fatigue.,Copper gluconate,2 mg/day,Gluconate,Enzyme cofactor.,Zinc,30-50 mg/day,Picolinate,Balances copper excess.,Chocolate,Low-copper diet,Copper sulfate,2 mg/day,Oral,Penicillamine,250 mg/day,Oral,Balanced diet,Hydration,Copper: GI,Zinc: immune suppress,PubMed,
Minerals,Selenium,male,Se,µg/dL,70-150,100-130,Thyroid issues.,Toxicity: hair loss.,Selenomethionine,200 µg/day,Organic,Antioxidant for thyroid.,None standard,N/A,N/A,N/A,Brazil nuts,Low-selenium diet,Sodium selenite,200 µg/day,Oral,None standard,N/A,N/A,Balanced diet,Hydration,>400 µg: toxicity,N/A,PMC,
Minerals,Manganese,male,Mn,µg/L,4-15,6-12,Rare.,Neurotoxicity.,Manganese gluconate,2-5 mg/day,Chelated,Enzyme cofactor.,None standard,N/A,N/A,N/A,Nuts,Low-manganese diet,Manganese sulfate,5 mg/day,Oral,EDTA chelation,Physician-guided,IV,Balanced diet,Hydration,Manganese: GI,N/A,PubMed,
Minerals,Chromium,male,Cr,µg/L,0.1-2.0,0.5-1.5,Insulin resistance.,Rare.,Chromium picolinate,200-400 µg/day,Picolinate,Enhances insulin sensitivity.,None standard,N/A,N/A,N/A,Broccoli,Low-chromium diet,Chromium nicotinate,200 µg/day,Oral,None standard,N/A,N/A,Chromium-rich diet,Hydration,Chromium: rare toxicity,N/A,PMC,
Minerals,Iodine,male,I,µg/L,52-109,70-90,Hypothyroidism.,Hyperthyroidism.,Kelp,150 µg/day,Organic,Thyroid hormone synthesis.,None standard,N/A,N/A,N/A,Seaweed,Low-iodine diet,Potassium iodide,150 µg/day,Oral,None standard,N/A,N/A,Balanced diet,Hydration,Overdose: thyroid storm,N/A,PubMed,
Thyroid,TSH,male,TSH,mIU/L,0.4-4.0,0.5-2.0,"Hyperthyroidism: anxiety, weight loss, palpitations.","Hypothyroidism: fatigue, weight gain, cold intolerance.",Iodine,150-300 µg/day,Potassium iodide,Supports thyroid hormone synthesis.,Selenium,200 µg/day,Selenomethionine,Reduces thyroid peroxidase antibodies and inflammation.,Seaweed,Brazil nuts,None standard,N/A,N/A,Levothyroxine,25-100 µg/day,Oral tablet,Sun exposure 20 min/day,Avoid fluoride,Iodine excess: thyroid storm,Selenium >400 µg: toxicity,NHANES 2024 PubMed; Selenium meta PMC,
Thyroid,Free T3,male,FT3,pg/mL,2.0-4.4,3.2-4.2,"Low energy, depression, slow metabolism.","Hyperthyroidism: palpitations, anxiety.",Zinc,30 mg/day,Zinc picolinate,Aids T4 to T3 conversion via deiodinase enzymes.,Selenium,200 µg/day,Selenomethionine,Supports deiodinase activity to regulate T3.,Eggs,Seafood,Liothyronine,5-25 µg/day,Oral tablet,Methimazole,5-10 mg/day,Oral tablet,HIIT,Reduce calorie deficits,Zinc >50 mg: nausea,Selenium toxicity,ATA 2025 PubMed; Selenium RCT PMC,
Thyroid,Free T4,male,FT4,ng/dL,0.8-1.8,1.1-1.6,"Hypothyroidism: fatigue, cold intolerance.","Hyperthyroidism: insomnia, weight loss.",Iodine,150 µg/day,Potassium iodide,Essential for thyroxine production in thyroid gland.,Selenium,200 µg/day,Selenomethionine,Protects thyroid from oxidative damage during hormone synthesis.,Fish,Seaweed,Levothyroxine,50-150 µg/day,Oral tablet,Propylthiouracil,100-150 mg/day,Oral tablet,Strength training,Avoid excess soy,Iodine overdose,Selenium excess,Thyroid meta 2024 PubMed,
Thyroid,Reverse T3,male,rT3,ng/dL,9-24,<12,Rare,Thyroid resistance: fatigue despite normal TSH.,Ashwagandha,600 mg/day,KSM-66 extract,"Reduces cortisol, which inhibits T4 to rT3 conversion.",Selenium,200 µg/day,Selenomethionine,Enhances deiodinase 1 to favor T3 over rT3.,Berries,High-carb diet,None standard,N/A,N/A,Liothyronine,5-25 µg/day,Oral tablet,Recovery days,Balanced diet,Ashwagandha: thyroid interaction in hyper,Selenium toxicity,JCEM 2023 PubMed; Ashwagandha RCT PMC,
Thyroid,Free T4 Index,male,FT4I,Index,4.5-11.2,6-9,See FT4,See FT4,Iodine,150 µg/day,Potassium iodide,Supports T4 production.,Selenium,200 µg/day,Selenomethionine,Regulates T4 levels.,Seaweed,High-carb diet,Levothyroxine,50-150 µg/day,Oral,Methimazole,5-10 mg/day,Oral,Strength training,Avoid soy,Iodine: storm,Selenium: toxicity,PMC,
Thyroid,Free T3 Index,male,FT3I,Index,Variable,Optimal,See FT3,See FT3,Zinc,30 mg/day,Picolinate,Aids T3 conversion.,Selenium,200 µg/day,Selenomethionine,Supports deiodinase.,Eggs,High-carb diet,Liothyronine,5-25 µg/day,Oral,Methimazole,5-10 mg/day,Oral,HIIT,Reduce deficits,Zinc: nausea,Selenium: toxicity,PubMed,
Vitamins,Vitamin B12,male,B12,pg/mL,200-900,500-800,"Fatigue, neuropathy.",Rare.,Methylcobalamin,1000-5000 µg/day,Sublingual,Supports methylation and nerve health.,None standard,N/A,N/A,N/A,"Meat, eggs",Low-B12 diet,Injections,1000 µg/week,Injectable,None standard,N/A,N/A,B12-rich diet,Hydration,High dose: acne,N/A,PMC,
Vitamins,Folate,male,Folate,ng/mL,>3,>10,"Anemia, neural defects.",Rare.,5-MTHF,400-1000 µg/day,Methylfolate,DNA synthesis and methylation.,None standard,N/A,N/A,N/A,Leafy greens,Low-folate diet,Folic acid,5 mg/week,Oral,None standard,N/A,N/A,Balanced diet,Hydration,High dose: mask B12 def,N/A,PubMed,
Vitamins,Vitamin B6,male,B6,ng/mL,5-50,20-40,"Neuropathy, anemia.",Toxicity (numbness).,P5P,50-100 mg/day,Pyridoxal-5-phosphate,Neurotransmitter synthesis.,None standard,N/A,N/A,N/A,"Poultry, bananas",Low-B6 diet,Pyridoxine,100 mg/day,Oral,None standard,N/A,N/A,Balanced diet,Hydration,>100 mg: nerve damage,N/A,PMC,
Vitamins,Vitamin D 25(OH),male,Vit D,ng/mL,30-100,50-80,"Immune weakness, depression.",Hypercalcemia.,Vitamin D3,2000-5000 IU/day,Cholecalciferol,Bone and immune support.,None standard,N/A,N/A,N/A,Fatty fish,Low-vitamin D diet,Calcifediol,0.266 mg/week,Oral,IV fluids,As needed,IV,Sun 20 min/day,Balanced diet,>10k IU: toxicity,N/A,VITAL 2025 NEJM,
Vitamins,Vitamin A,male,Vit A,µg/dL,30-65,40-60,Night blindness.,Toxicity (headache).,Beta-carotene,15 mg/day,Carotenoid,Vision and immune.,None standard,N/A,N/A,N/A,"Carrots, liver",Low-vitamin A diet,Retinol,3000 IU/day,Oral,None standard,N/A,N/A,Vitamin A-rich diet,Hydration,High A: liver toxicity,N/A,PubMed,
Vitamins,Vitamin E,male,Vit E,mg/L,6-20,10-15,Neuropathy.,Bleeding risk.,Tocotrienols,100 mg/day,Mixed tocopherols,Antioxidant.,None standard,N/A,N/A,N/A,"Nuts, seeds",Low-vitamin E diet,Alpha-tocopherol,400 IU/day,Oral,Vitamin K,Physician-guided,Oral,Balanced diet,Hydration,High E: hemorrhage,N/A,PMC,
Vitamins,Vitamin K1,male,Vit K1,nmol/L,0.1-2.2,0.5-1.5,Bleeding.,Rare.,MK4/MK7,100-200 µg/day,Menaquinone,Clotting factors.,None standard,N/A,N/A,N/A,"Kale, broccoli",Low-vitamin K diet,Phytonadione,5 mg/day,Oral,None standard,N/A,N/A,Balanced diet,Hydration,N/A,N/A,PubMed,
